"","diff","lwr","upr","p adj"
"HET:GlucOsc-HET:BasePeaks",-0.83254108520419,-1.10967889882935,-0.555403271579032,2.25042207091519e-13
"KO:GlucOsc-HET:BasePeaks",-0.816593173348622,-1.10443771098901,-0.528748635708237,2.41695552460897e-13
"No Cre:GlucPeaks-HET:BasePeaks",10.3649213350767,10.0373542061041,10.6924884640493,0
"HET:GlucPeaks-HET:BasePeaks",11.959450171826,11.6823123582008,12.2365879854511,0
"KO:GlucPeaks-HET:BasePeaks",10.9255156689611,10.6376711313207,11.2133602066015,0
"No Cre:GlucResp-HET:BasePeaks",-0.509824087299186,-0.837391216271746,-0.182256958326627,4.08737833568207e-06
"HET:GlucResp-HET:BasePeaks",-0.329193833837026,-0.606331647462184,-0.0520560202118683,0.0036599120124472
"KO:GlucResp-HET:BasePeaks",-0.494359456937803,-0.782203994578188,-0.206514919297418,1.15068178097033e-07
"No Cre:KClOsc-HET:BasePeaks",-0.882269351952678,-1.20983648092524,-0.554702222980119,2.49911202843123e-13
"HET:KClOsc-HET:BasePeaks",-0.891228707128718,-1.16836652075388,-0.61409089350356,0
"KO:KClOsc-HET:BasePeaks",-0.876989353970734,-1.16483389161112,-0.589144816330349,1.11910480882216e-13
"No Cre:KClPeaks-HET:BasePeaks",1.59550086652189,1.26793373754933,1.92306799549445,0
"HET:KClPeaks-HET:BasePeaks",1.52302405498313,1.24588624135797,1.80016186860829,0
"KO:KClPeaks-HET:BasePeaks",1.70833189807197,1.42048736043158,1.99617643571235,0
"No Cre:KClResp-HET:BasePeaks",0.28984909436877,-0.0377180346037888,0.61741622334133,0.174012873168916
"HET:KClResp-HET:BasePeaks",0.294438608428862,0.0173007948037043,0.57157642205402,0.0225751957299266
"KO:KClResp-HET:BasePeaks",0.281096720576091,-0.00674781706429373,0.568941258216477,0.0660180008274107
"No Cre:GlucOsc-KO:BasePeaks",-0.625580655127914,-0.962254583568772,-0.288906726687057,3.84372045303394e-09
"HET:GlucOsc-KO:BasePeaks",-0.636338377070393,-0.924182914710778,-0.348493839430008,5.57442980664291e-13
"KO:GlucOsc-KO:BasePeaks",-0.620390465214825,-0.918557512283882,-0.322223418145767,1.06070707772687e-11
"No Cre:GlucPeaks-KO:BasePeaks",10.5611240432105,10.2244501147696,10.8977979716514,0
"HET:GlucPeaks-KO:BasePeaks",12.1556528799598,11.8678083423194,12.4434974176002,0
"KO:GlucPeaks-KO:BasePeaks",11.1217183770949,10.8235513300259,11.419885424164,0
"No Cre:GlucResp-KO:BasePeaks",-0.313621379165389,-0.650295307606247,0.0230525492754686,0.108860592827528
"HET:GlucResp-KO:BasePeaks",-0.132991125703229,-0.420835663343614,0.154853411937156,0.993209719823098
"KO:GlucResp-KO:BasePeaks",-0.298156748804006,-0.596323795873063,1.02982650517225e-05,0.0500209034178144
"No Cre:KClOsc-KO:BasePeaks",-0.686066643818881,-1.02274057225974,-0.349392715378023,3.44955175535233e-11
"HET:KClOsc-KO:BasePeaks",-0.695025998994921,-0.982870536635306,-0.407181461354535,1.83741910575463e-13
"KO:KClOsc-KO:BasePeaks",-0.680786645836936,-0.978953692905994,-0.382619598767879,2.85660384236053e-13
"No Cre:KClPeaks-KO:BasePeaks",1.79170357465569,1.45502964621483,2.12837750309654,0
"HET:KClPeaks-KO:BasePeaks",1.71922676311693,1.43138222547654,2.00707130075731,0
"KO:KClPeaks-KO:BasePeaks",1.90453460620576,1.60636755913671,2.20270165327482,0
"No Cre:KClResp-KO:BasePeaks",0.486051802502568,0.14937787406171,0.822725730943425,4.0316862609191e-05
"HET:KClResp-KO:BasePeaks",0.49064131656266,0.202796778922274,0.778485854203045,1.55183017214178e-07
"KO:KClResp-KO:BasePeaks",0.477299428709889,0.179132381640831,0.775466475778946,1.58214474843543e-06
"HET:GlucOsc-No Cre:GlucOsc",-0.0107577219424786,-0.338324850915038,0.316809407030081,1
"KO:GlucOsc-No Cre:GlucOsc",0.0051901899130895,-0.331483738527768,0.341864118353947,1
"No Cre:GlucPeaks-No Cre:GlucOsc",11.1867046983384,10.8154971011294,11.5579122955475,0
"HET:GlucPeaks-No Cre:GlucOsc",12.7812335350877,12.4536664061151,13.1088006640603,0
"KO:GlucPeaks-No Cre:GlucOsc",11.7472990322228,11.410625103782,12.0839729606637,0
"No Cre:GlucResp-No Cre:GlucOsc",0.311959275962525,-0.0592483212465267,0.683166873171577,0.258829429590842
"HET:GlucResp-No Cre:GlucOsc",0.492589529424685,0.165022400452126,0.820156658397245,1.21615019527122e-05
